normalized,raw,tag,definition_fr
AETHIOPIE,Æthiopie,obsolete,Ancienne graphie du nom propre Éthiopie.
AETHIOPIEN,Æthiopien,archaic,"Ancienne graphie de l'adjectif éthiopien, relatif à l'Éthiopie."
AETOLIE,Ætolie,archaic,"Ancienne orthographe d'Étolie, région historique de la Grèce antique."
AETOLIEN,Ætolien,archaic,"Ancienne orthographe de l'adjectif étolien, relatif à l'Étolie ou à ses habitants."
AGNOM,agnom,obsolete,"Surnom ajouté au nom d'une personne, dans l'usage de la Rome antique."
ALAIS,Alais,obsolete,"1) Ancienne orthographe d'Alès, sous-préfecture du département du Gard. 2) Nom de famille porté en France."
ALENYA,Alenya,obsolete,"Ancienne orthographe d'Alénya, commune des Pyrénées-Orientales proche de Perpignan."
APOLLIN,Apollin,archaic,"Ancienne forme du nom d'Apollon, fils de Zeus et dieu grec des arts, de la lumière et de la divination."
APREHENDER,apréhender,obsolete,Ancienne orthographe du verbe appréhender.
ARCEP,Arcep,acronym,"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse, organisme français chargé de superviser les télécommunications, le secteur postal et la diffusion de la presse."
ARCOM,ARCOM,acronym,"Autorité de régulation de la communication audiovisuelle et numérique, institution française qui encadre les médias audiovisuels ainsi que les plateformes numériques."
ARSOUDRE,arsoudre,dated,Graphie reflétant la prononciation populaire du verbe résoudre.
ARYM,ARYM,acronym,"Ancienne République yougoslave de Macédoine, dénomination officielle utilisée pour ce pays des Balkans avant l'accord de 2018 qui a réglé son différend de nom avec la Grèce et conduit à l'adoption du nom Macédoine du Nord."
ASPHALTEUSE,asphalteuse,slang,Terme argotique et péjoratif désignant une prostituée qui exerce dans la rue.
ASPOR,aspor,regional,Terme régional désignant la puissance d'un moteur exprimée en chevaux.
ASSEDIC,Assedic,acronym,"Association pour l'emploi dans l'industrie et le commerce, organisme qui a géré en France le versement des allocations chômage avant son intégration à Pôle emploi."
ASSOUVISSANCE,assouvissance,literary,Terme littéraire désignant l'état de satisfaction complète d'un désir ou d'un besoin.
ASV,asv,slang,"Sigle utilisé dans les salons de discussion en ligne pour demander à son interlocuteur son âge, son sexe et sa ville."
ATCHOU,atchou,archaic,"Ancienne variante de l'interjection atchoum, qui imite le bruit de l'éternuement."
ATROPATENE,atropatène,dated,"Adjectif désignant ce qui se rapporte à Atropatès, satrape perse d'Alexandre le Grand, employé surtout dans l'expression Médie atropatène pour nommer une région de l'ancienne Perse."
AVECQUE,avecque,obsolete,"Ancienne forme de la préposition avec, utilisée aussi au sens de aussi dans la poésie classique."
BABAILLE,babaille,colloquial,Interjection familière et enfantine employée pour dire au revoir.
BARBEUC,barbeuc,colloquial,Abréviation familière de barbecue.
BARIA,Baria,obsolete,"Ancienne orthographe de Ba Ria, ville du sud du Vietnam."
BASLE,Basle,obsolete,"Ancienne orthographe de Bâle, ville de Suisse."
BASOURDIR,basourdir,obsolete,Ancien verbe signifiant tuer ou assommer quelqu'un d'un coup violent.
BASSOUILLER,bassouiller,regional,"Verbe régional signifiant tremper ses mains, ses pieds ou tout son corps dans l'eau, ou patauger dans la boue."
BAYOUC,bayouc,obsolete,"Ancien terme désignant un bayou, bras d'eau stagnante formé par les méandres du Mississippi, notamment en Louisiane."
BDK,BDK,obsolete,Sigle désignant la bande dessinée québécoise.
BEAUZELLY,Beauzelly,obsolete,"Ancienne orthographe de Bauzély, lieu-dit français."
BELLAY,Bellay,obsolete,"Ancienne orthographe de Belley, commune du département de l'Ain."
BENGALA,Bengala,archaic,"Ancienne forme du nom Bengale, région d'Asie du Sud partagée aujourd'hui entre l'Inde et le Bangladesh."
BERCY,Bercy,dated,"1) Bercy : quartier de l'est de Paris, autrefois réputé pour ses entrepôts de vin. 2) Par métonymie, le ministère français de l'Économie et des Finances, installé dans ce quartier. 3) Sens vieilli : ivrogne, par allusion aux entrepôts de vin qui s'y trouvaient."
BEUC,BEUC,acronym,"Bureau européen des unions de consommateurs, fédération regroupant les associations de défense des consommateurs à l'échelle européenne."
BICRAVEUR,bicraveur,slang,Terme argotique désignant un revendeur de drogue.
BIGNOLON,bignolon,slang,Terme argotique désignant un policier.
BINKS,binks,slang,"Terme argotique désignant un quartier, en particulier un quartier populaire."
BOBARDER,bobarder,colloquial,Verbe familier signifiant raconter des mensonges sans grande conséquence.
BOEOTIE,Bœotie,obsolete,"Ancienne graphie de Béotie, région de la Grèce antique dont Thèbes était la principale cité."
BOLOLO,bololo,colloquial,Terme familier désignant une confusion générale ou un désordre complet.
BONBONNIER,bonbonnier,dated,Terme vieilli désignant un fabricant ou un vendeur de bonbons.
BONPAS,Bonpas,obsolete,"Ancienne orthographe de Bompas, commune des Pyrénées-Orientales proche de Perpignan."
BOULBI,Boulbi,colloquial,"Abréviation familière désignant la ville de Boulogne-Billancourt, en région parisienne."
BOUNTY,bounty,slang,"Terme argotique et péjoratif désignant une personne noire jugée se comporter ou s'exprimer selon des codes perçus comme blancs, par allusion à la barre chocolatée Bounty, brune à l'extérieur et blanche à l'intérieur."
BOURDILLE,bourdille,slang,"1) Terme argotique désignant une personne méprisable. 2) Par extension, un indicateur qui dénonce ses complices à la police. 3) Peut aussi désigner un policier."
BOURDILLER,bourdiller,slang,Verbe argotique signifiant dénoncer quelqu'un aux autorités.
BOURRINAGE,bourrinage,colloquial,Terme familier désignant un comportement grossier ou brutal.
BOUSTROPHEDONE,boustrophédone,dated,"Forme féminine singulier vieillie de l'adjectif boustrophédon, qui qualifie une écriture dont les lignes se lisent alternativement de gauche à droite puis de droite à gauche."
BOUSTROPHEDONES,boustrophédones,dated,"Forme féminine pluriel vieillie de l'adjectif boustrophédon, qui qualifie une écriture dont les lignes se lisent alternativement de gauche à droite puis de droite à gauche."
BRASSAR,brassar,obsolete,Ancienne orthographe de brassard.
BRENNEUX,brenneux,literary,Terme littéraire et vieilli qualifiant ce qui est souillé d'excréments.
BRONY,brony,slang,"Terme désignant un adulte, le plus souvent un homme, fan de la série télévisée My Little Pony."
BRUSSELLE,Brusselle,obsolete,1) Ancienne orthographe de Bruxelles. 2) Nom de famille porté en France ou en Belgique.
BRUSSELLES,Brusselles,obsolete,Ancienne orthographe de Bruxelles.
BSARTEK,bsartek,slang,Interjection argotique d'origine arabe employée pour féliciter quelqu'un.
BUMMER,bummer,slang,Verbe argotique signifiant quémander gratuitement quelque chose à quelqu'un.
CAECILE,Cæcile,obsolete,Ancienne orthographe du prénom Cécile.
CAESAREE,Cæsarée,obsolete,"Ancienne graphie de Césarée, nom porté par plusieurs villes antiques fondées ou renommées en l'honneur d'un empereur romain."
CAGARELLE,cagarelle,regional,Terme régional et familier désignant la diarrhée.
CALEFACTOIRE,caléfactoire,dated,"Terme vieilli désignant, dans un monastère, la salle chauffée réservée aux moines."
CAMAMILLE,camamille,obsolete,Ancienne forme du mot camomille.
CAMARO,camaro,colloquial,Terme familier et affectueux désignant un ami proche.
CAMOENS,Camoëns,dated,"Ancienne graphie francisée du nom de Camões, poète portugais de la Renaissance."
CAQ,CAQ,acronym,"Coalition Avenir Québec, parti politique québécois fondé en 2011."
CASCABEL,cascabel,obsolete,"Ancienne orthographe de cascabelle, petite clochette ou grelot."
CASOUAR,casouar,obsolete,"Ancienne forme de casoar, grand oiseau coureur d'Océanie proche de l'autruche."
CB,CB,dated,"1) CB : abréviation de Colombie-Britannique, province de l'ouest du Canada. 2) Sigle usuel de carte bancaire, souvent employé sous la forme carte bleue. 3) Dans le vocabulaire de la radio amateur, désigne le canal banalisé, bande de fréquences libre dite CB."
CEDEAO,CEDEAO,acronym,"Communauté économique des États de l'Afrique de l'Ouest, organisation régionale regroupant plusieurs pays ouest-africains autour d'objectifs économiques et politiques communs."
CELESTIAL,Célestial,obsolete,Terme ancien désignant un sujet de l'Empire chinois.
CELIB,célib,colloquial,"Terme familier désignant une personne célibataire, sans partenaire amoureux."
CESAREE,Césarée,obsolete,1) Ancien nom porté par plusieurs villes antiques nommées en l'honneur d'un empereur romain. 2) Ancienne désignation de l'île anglo-normande de Jersey.
CHAERONEE,Chæronée,obsolete,"Ancienne graphie de Chéronée, ville de Béotie où Philippe II de Macédoine vainquit les cités grecques coalisées en 338 av. J.-C."
CHALANT,chalant,archaic,"Ancienne variante de chaland, terme désignant un client habituel d'un commerce."
CHANGHAI,Changhaï,obsolete,"Ancienne orthographe de Shanghai, métropole chinoise."
CHANMAX,chanmax,dated,"Terme d'argot vieilli signifiant excellent, épatant."
CHASTRES,Chastres,obsolete,Ancienne orthographe de Châtres.
CHAUDASSERIE,chaudasserie,colloquial,Terme familier désignant une attitude de séduction ou de provocation sexuelle appuyée.
CHAUDRELAGE,chaudrelage,archaic,Terme ancien désignant l'ensemble des ustensiles de cuisine en cuivre.
CHEBRAN,chébran,dated,"Terme d'argot vieilli signifiant à la mode, branché, formé par verlan sur branché."
CHEFTAIN,cheftain,obsolete,"Terme ancien désignant un chef, en particulier un chef militaire ou un chef de clan."
CHEH,cheh,colloquial,Interjection familière employée par moquerie envers quelqu'un qui subit les conséquences de ses propres actes.
CHERIAT,chériat,archaic,"Ancienne forme du mot charia, désignant la loi islamique."
CHIANTOS,chiantos,slang,Terme argotique qualifiant quelque chose d'ennuyeux.
CHOUPI,choupi,colloquial,"Terme familier et affectueux signifiant mignon, ou désignant une personne mignonne."
CHTAR,chtar,slang,"1) Terme argotique désignant un coup violent ou une raclée. 2) Par un autre usage, désigne un bouton d'acné."
CHUI,chui,colloquial,Contraction familière et orale de je suis.
CIRCO,circo,colloquial,Abréviation familière de circonscription électorale.
CLAYRA,Clayra,obsolete,"Ancienne orthographe de Claira, commune des Pyrénées-Orientales."
COCHEUR,cocheur,slang,"Terme désignant, chez les ornithologues amateurs, une personne cherchant avant tout à observer et cocher un maximum d'espèces d'oiseaux différentes sur une liste."
COGER,coger,dialectal,Verbe dialectal signifiant punir quelqu'un ou le contraindre à agir.
COIE,coie,obsolete,"Ancienne forme féminine singulier de l'adjectif coi, qui signifie silencieux, immobile."
COIES,coies,obsolete,"Ancienne forme féminine pluriel de l'adjectif coi, qui signifie silencieux, immobile."
COINSTO,coinsto,slang,"Terme argotique désignant un lieu, en particulier son quartier d'origine."
COLOMNADE,colomnade,obsolete,Ancienne orthographe de colonnade.
COLOMNE,colomne,obsolete,Ancienne orthographe de colonne.
COLOSSEE,Colossée,dated,"Ancienne forme de Colisée, le grand amphithéâtre de la Rome antique."
CONGRUANT,congruant,archaic,"Ancienne forme de l'adjectif congruent, qui convient bien, qui s'accorde avec quelque chose."
CONSERANS,Conserans,obsolete,"Ancienne orthographe de Couserans, région pyrénéenne du sud de l'Ariège."
CONSUMOIT,consumoit,archaic,"Ancienne orthographe de consumait, imparfait du verbe consumer."
CONTEMNEMENT,contemnement,dated,Terme vieilli désignant le mépris.
CORINNE,Corinne,slang,"1) Prénom féminin. 2) En argot, désigne la cocaïne."
COTO,coto,slang,"Abréviation argotique de cotorep, désignant une personne reconnue en situation de handicap par cette ancienne commission administrative."
COTOREP,cotorep,slang,"Terme argotique, par métonymie du nom de l'ancienne commission chargée de statuer sur le handicap, désignant une personne en situation de handicap."
COUPIANSK,Coupiansk,obsolete,"Ancienne orthographe rare de Koupiansk, ville d'Ukraine."
COUROIT,couroit,archaic,"Ancienne orthographe de courait, imparfait du verbe courir."
COUSTUME,coustume,archaic,Ancienne orthographe de coutume.
COUZ,couz,colloquial,Abréviation familière de cousin.
CRIGOLS,Crigols,obsolete,"Ancienne forme de Crégols, commune du Lot."
CRINGE,cringe,colloquial,Terme familier emprunté à l'anglais qualifiant une situation gênante qui provoque un malaise.
CROIVENT,croivent,colloquial,Forme familière de la troisième personne du pluriel du présent du verbe croire.
CROUS,CROUS,acronym,"Centre régional des œuvres universitaires et scolaires, organisme public qui gère notamment les bourses, les résidences et les restaurants universitaires en France."
CRUSH,crush,slang,"Terme familier emprunté à l'anglais désignant un béguin amoureux, ou la personne qui en est l'objet."
CUTEX,cutex,colloquial,"Terme familier, issu à l'origine d'une marque, employé pour désigner du vernis à ongles."
CYNTHIE,Cynthie,archaic,Ancienne forme du prénom Cynthia.
CYPRE,Cypre,archaic,Ancienne forme de Chypre.
DALO,DALO,acronym,"Droit au logement opposable, dispositif juridique français permettant à une personne mal logée de faire valoir en justice son droit à un logement décent."
DEBILOS,débilos,slang,Terme argotique et péjoratif qualifiant quelqu'un de stupide.
DECRISSER,décrisser,slang,"1) Verbe argotique québécois signifiant partir, décamper. 2) Peut aussi signifier enlever ou retirer quelque chose. 3) Employé également au sens de maltraiter ou d'endommager gravement."
DEGLINGO,déglingo,colloquial,"Terme familier qualifiant quelqu'un ou quelque chose de détraqué, de fou."
DELF,DELF,acronym,"Diplôme d'études en langue française, certification officielle qui atteste du niveau de maîtrise du français chez les non-francophones."
DESO,déso,colloquial,Abréviation familière de désolé.
DIADOCHE,diadoche,dated,"Variante vieillie de diadoque, terme désignant chacun des généraux d'Alexandre le Grand qui se partagèrent son empire après sa mort."
DIAGOU,diagou,regional,Terme régional désignant une plante du genre jonc.
DINS,dins,colloquial,Forme familière et régionale de la contraction dans les.
DIONYSE,Dionyse,literary,"Variante littéraire du nom de Dionysos, dieu grec du vin et de la vigne."
DISTENTION,distention,obsolete,Ancienne orthographe de distension.
DOCTRICE,doctrice,obsolete,Ancien féminin du mot docteur.
DRET,dret,obsolete,"Ancienne forme populaire de droit, employée aussi au sens de exactement, précisément."
DROM,DROM,acronym,"Département et région d'outre-mer, catégorie administrative regroupant les territoires français d'outre-mer dotés à la fois du statut de département et de région."
DZ,DZ,slang,"Abréviation familière désignant l'Algérie ou les Algériens, d'après le code du pays."
EINS,eins,slang,Terme argotique désignant les seins.
EJADE,éjade,obsolete,Ancienne forme du mot jade.
ENA,ENA,acronym,"École nationale d'administration, ancienne grande école française qui formait les hauts fonctionnaires, remplacée en 2022 par l'Institut national du service public."
ENEWE,énéwé,slang,"Terme argotique employé pour changer de sujet, équivalent de bref ou enfin bref."
ENTREGENS,entregens,archaic,"Pluriel ancien de entregent, terme désignant l'habileté à se comporter en société."
ENWEILLE,enweille,colloquial,"Variante familière québécoise de envoye, interjection encourageant à agir ou à se dépêcher."
ERYTHREE,Érythrée,obsolete,"1) Forme elliptique désignant la mer Érythrée, ancien nom donné par les Grecs à la mer Rouge et à une partie de l'océan Indien. 2) Désigne aussi l'Érythrée, pays d'Afrique de l'Est bordant la mer Rouge. 3) Nom d'une cité de la Crète antique."
ESPINGO,espingo,slang,"Terme argotique, parfois péjoratif, désignant un Espagnol."
EUBOEE,Eubœe,archaic,"Ancienne orthographe d'Eubée, grande île grecque de la mer Égée."
EUZBEK,Euzbek,archaic,"Ancienne forme de l'adjectif ouzbek, relatif à l'Ouzbékistan."
FEESO,FEESO,acronym,"Fédération des enseignantes-enseignants des écoles secondaires de l'Ontario, syndicat canadien représentant les enseignants du secondaire dans cette province."
FEUMEU,feumeu,slang,"Terme argotique, formé par verlan sur femme, désignant une femme ou une fille."
FIDE,FIDE,acronym,"Fédération internationale des échecs, instance mondiale qui régit la pratique du jeu d'échecs en compétition."
FIDIC,FIDIC,acronym,"Fédération internationale des ingénieurs-conseils, organisation regroupant les associations nationales d'ingénieurs-conseils, connue notamment pour ses modèles types de contrats de construction."
FIG,FIG,acronym,"Fédération internationale de gymnastique, instance mondiale qui régit les disciplines gymniques."
FILATIEFF,Filatieff,dated,Transcription francisée d'un patronyme russe.
FISICIEN,fisicien,archaic,"Terme ancien désignant un médecin, au Moyen Âge."
FITEQ,FITEQ,acronym,"Fédération internationale de teqball, instance qui régit ce sport inspiré du football et pratiqué sur une table incurvée."
FLANCHARD,flanchard,slang,"Terme argotique qualifiant une personne lâche, ou désignant cette personne elle-même."
FOOTIX,footix,slang,"Terme argotique, par allusion au coq mascotte de la Coupe du monde de football de 1998, désignant un amateur occasionnel de football qui donne son avis avec une assurance disproportionnée par rapport à ses connaissances réelles."
FOURGAT,fourgat,dated,"Terme vieilli désignant un receleur, personne qui revend des objets volés."
FOURLOUREUR,fourloureur,obsolete,Terme ancien désignant un meurtrier.
FRAGIN,fragin,colloquial,"Terme familier désignant un frère, variante de frangin."
FRAGINE,fragine,colloquial,"Terme familier désignant une sœur, variante de frangine."
FRARATRE,frarâtre,dated,"Terme vieilli désignant un demi-frère peu aimant, voire malveillant."
FREGOZES,Fregozes,obsolete,Ancienne orthographe de Frégoses.
FRERATRE,frèrâtre,dated,"Terme vieilli désignant un demi-frère peu aimant, voire malveillant."
FUCKZONE,fuckzone,slang,Terme argotique emprunté à l'anglais désignant une relation ambiguë fondée sur des rapports sexuels sans engagement affectif.
GAMBRA,Gambra,obsolete,"Ancien nom d'un fleuve d'Afrique de l'Ouest, la Gambie."
GAULLE,Gaulle,obsolete,"Ancienne graphie de Gaule, surtout conservée aujourd'hui dans des noms de famille, sans lien direct établi avec le patronyme de Charles de Gaulle."
GENEST,Genest,obsolete,"Ancienne orthographe de Genêts, commune de Normandie dans la Manche."
GENOUIL,genouil,obsolete,Ancienne forme du mot genou.
GENTILLEMENT,gentillement,obsolete,Ancienne orthographe de gentiment.
GHILAN,Ghilan,obsolete,"Ancienne forme de Gjilan, ville du Kosovo."
GHIOLOF,Ghiolof,obsolete,"1) Ancien nom d'un royaume d'Afrique de l'Ouest. 2) Par extension, désignait un habitant de ce royaume."
GIEC,GIEC,acronym,"Groupe d'experts intergouvernemental sur l'évolution du climat, organisme des Nations unies qui évalue les connaissances scientifiques sur le changement climatique."
GINGO,gingo,dated,"Ancienne variante orthographique de ginkgo, arbre originaire de Chine."
GINKYO,ginkyo,dated,"Ancienne variante orthographique de ginkgo, arbre originaire de Chine."
GIOU,giou,slang,Terme argotique qualifiant quelque chose de délicieux.
GIRAFFE,giraffe,archaic,Ancienne orthographe de girafe.
GNEUGNEU,gneugneu,slang,"Terme argotique, onomatopée employée pour se moquer de quelqu'un en imitant ses paroles de façon caricaturale."
GOGUELU,goguelu,archaic,"Terme ancien qualifiant une personne vaniteuse, imbue d'elle-même."
GOUINASSE,gouinasse,colloquial,Terme familier et péjoratif désignant une femme homosexuelle.
GOUST,goust,archaic,Ancienne orthographe de goût.
GRAEC,Græc,obsolete,Ancienne orthographe de Grec.
GRAECE,Græce,obsolete,Ancienne orthographe de Grèce.
GRAIS,grais,archaic,"Ancienne orthographe de grès, roche sédimentaire."
GRECE,GRECE,acronym,"Groupement de recherche et d'études pour la civilisation européenne, cercle de réflexion français d'extrême droite fondé en 1968, associé au courant de la Nouvelle Droite."
GROENLANDE,Groënlande,archaic,Ancienne forme du nom Groenland.
GUDJERAT,Gudjérat,dated,"Ancienne forme du nom Gujarat, État de l'ouest de l'Inde."
GUIENNE,Guienne,obsolete,"Ancienne forme de Guyenne, région historique du sud-ouest de la France."
GUIGNOLOT,guignolot,colloquial,Terme familier désignant une personne qui se comporte de façon ridicule.
GUILAN,Guilan,obsolete,"1) Ancien nom du Guilan, province du nord de l'Iran bordant la mer Caspienne. 2) Ancienne forme du nom de Gjilan, ville du Kosovo."
GUION,Guion,archaic,"Ancien prénom masculin, également devenu nom de famille."
HABIN,habin,obsolete,Ancien terme désignant un chien.
HADOPI,HADOPI,acronym,"Haute Autorité pour la diffusion des œuvres et la protection des droits sur Internet, autorité administrative française chargée de lutter contre le téléchargement illégal d'œuvres protégées."
HAINAULT,Hainault,archaic,"Ancienne forme de Hainaut, région à cheval sur la Belgique et le nord de la France."
HAR,HAR,acronym,"Heure avancée des Rocheuses, fuseau horaire nord-américain utilisé l'été dans la région des montagnes Rocheuses."
HARDOS,hardos,slang,Terme familier désignant un amateur de hard rock.
HAYIR,hayir,obsolete,Ancienne orthographe de haïr.
HCHOUMA,hchouma,slang,Terme argotique d'origine arabe qualifiant ce qui est honteux ou inconvenant.
HESS,hess,slang,"Terme argotique désignant une situation difficile, en particulier un manque d'argent."
HETREE,hêtrée,obsolete,"Ancienne orthographe de hêtraie, terrain planté de hêtres."
HON,hon,dated,Interjection vieillie imitant un petit rire ou marquant l'approbation.
HUICTANTE,huictante,obsolete,"Ancienne orthographe de huitante, forme régionale de quatre-vingts employée notamment en Suisse."
HYPERBOREE,hyperborée,dated,"Terme vieilli qualifiant ce qui appartient aux régions situées à l'extrême nord, par référence aux Hyperboréens de la mythologie grecque."
HYPERICON,hypéricon,dated,"Terme vieilli désignant le millepertuis, plante aux propriétés médicinales du genre Hypericum."
IENCLI,iencli,slang,Terme argotique désignant un acheteur de drogue.
IFOP,IFOP,acronym,"Institut français d'opinion publique, institut de sondages français fondé en 1938, l'un des plus anciens du genre."
IMPOLLU,impollu,literary,"Terme littéraire qualifiant ce qui est resté pur, sans souillure."
INDOCHINE,Indochine,dated,"1) Indochine : péninsule d'Asie du Sud-Est comprenant notamment le Vietnam, le Cambodge et le Laos. 2) Par extension, ancienne colonie française établie sur ce territoire. 3) Nom donné aussi à une couleur brun-orangé."
INOUIR,inouïr,literary,"Verbe littéraire signifiant faire vivre à quelqu'un une expérience extraordinaire, l'éblouir."
INRA,INRA,acronym,"Institut national de la recherche agronomique, organisme public français de recherche en agronomie, aujourd'hui intégré à l'INRAE."
INRAE,INRAE,acronym,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement, organisme public français né en 2020 de la fusion de l'INRA et de l'Irstea."
INRIA,Inria,acronym,"Institut national de recherche en informatique et en automatique, établissement public français de recherche dédié au numérique."
INSEE,INSEE,acronym,"Institut national de la statistique et des études économiques, administration française chargée de produire les statistiques officielles du pays."
INTERROGANT,interrogant,dated,"Terme vieilli qualifiant ce qui exprime une interrogation, ou une personne curieuse, portée à questionner."
IPC,IPC,dated,"Sigle placé devant le nom d'un sport pour indiquer qu'il s'agit d'une discipline adaptée aux personnes handicapées, par référence au Comité international paralympique."
IRCAM,IRCAM,acronym,"Institut de recherche et coordination acoustique/musique, centre parisien de recherche et de création consacré à la musique contemporaine et aux technologies sonores, fondé par Pierre Boulez."
IRCG,IRCG,acronym,"Institut de recherche criminelle de la gendarmerie nationale, service scientifique français chargé de l'analyse des indices matériels dans les enquêtes judiciaires."
ISSIR,issir,archaic,"Verbe ancien signifiant sortir, quitter un lieu."
JARNIDIEU,jarnidieu,dated,"Ancien juron atténué, exclamation marquant la surprise ou l'agacement."
JUPIN,Jupin,archaic,"Ancienne forme familière du nom de Jupiter, dieu suprême de la mythologie romaine."
KAINRI,kainri,slang,"Terme argotique, formé par verlan sur ricain, désignant un Américain."
KAYLLOR,Kayllor,obsolete,"Ancienne orthographe de Cayor, ancien royaume de la côte sénégalaise."
KAYOR,Kayor,obsolete,"Graphie ancienne désignant le Cayor, royaume wolof historique situé sur le littoral du Sénégal."
KESS,kess,colloquial,"Forme contractée et orale de « qu'est-ce que », utilisée dans la langue parlée familière."
KEVIN,Kevin,slang,"1) Prénom masculin d'origine irlandaise, popularisé en France dans les années 1980-1990. 2) Par moquerie sociale, désigne une personne jugée vulgaire, inculte ou issue d'un milieu populaire mal considéré, connotation classiste incluse."
KHALASS,khalass,slang,"Terme d'argot venu de l'arabe khalas (« c'est fini »), employé pour dire qu'on règle son compte à quelqu'un, en payant une dette ou, plus violemment, en le tuant."
KHO,kho,slang,"Terme d'argot désignant un frère ou un ami proche, équivalent de « frangin » ou « pote »."
KHOYA,khoya,colloquial,"Variante d'argot signifiant « frère » ou « ami », empruntée à l'arabe maghrébin et employée entre proches."
KISSE,kissé,colloquial,"Forme orale contractée de « qui est-ce que », utilisée dans un registre familier."
KRO,Kro,colloquial,"Diminutif familier désignant la bière Kronenbourg, souvent employé pour en commander une pression."
LAPEJE,Lapèje,obsolete,"Ancienne orthographe de Lapège, commune du département de l'Ariège."
LAUNE,laune,slang,Terme d'argot désignant un policier.
LEAOTUNG,Léaotung,obsolete,Ancienne transcription française de la péninsule chinoise du Liaodong.
LEAOYANG,Léaoyang,obsolete,Ancienne transcription française de la ville chinoise de Liaoyang.
LEIPZICOIS,leipzicois,dated,"Ancienne forme de « leipzigois », qualifiant ce qui se rapporte à la ville allemande de Leipzig."
LEULEU,leuleu,slang,Terme argotique désignant la position sexuelle où un partenaire est pénétré par-derrière.
LEVESOU,Levesou,obsolete,"Ancienne graphie du Lévézou, massif et région naturelle du département de l'Aveyron."
LICADHO,LICADHO,acronym,"Ligue cambodgienne de défense des droits de l'homme, organisation non gouvernementale qui œuvre pour la protection des droits humains au Cambodge."
LICEBROQUE,licebroque,slang,Terme d'argot désignant le fait d'uriner.
LICRA,LICRA,acronym,"Ligue internationale contre le racisme et l'antisémitisme, association française fondée pour combattre les discriminations raciales et antisémites."
LIFE,life,slang,"Emprunt à l'anglais désignant la vie, employé notamment dans des expressions comme « c'est la life »."
LINCEUX,linceux,obsolete,"Ancienne forme plurielle de « linceul », le tissu dont on enveloppe un corps avant l'inhumation."
LIPSE,Lipse,obsolete,"1) Ancien nom français de la ville allemande de Leipzig. 2) Référence à Juste Lipse, humaniste flamand de la Renaissance."
LOPOULOFF,Lopouloff,obsolete,Transcription française du patronyme russe Луполов (Lupolov).
MACDO,MacDo,slang,"Abréviation familière désignant la chaîne de restauration rapide McDonald's, parfois employée pour la restauration rapide en général."
