term_normalized,sense_rank,pos,gender,definition,source
ACTON,1,N,m,"Municipalité régionale de comté de la Montérégie, au Québec, Canada.",kaikki
ADAM,1,N,m,"Premier homme selon la Genèse, façonné par Dieu et placé au jardin d'Éden.",kaikki
ADAM,2,N,m,"Prénom masculin, dont dérivent les diminutifs Adanet, Adenot, Adnet et Adnot.",kaikki
ADANET,1,N,m,"Nom de famille rare, issu d'un diminutif médiéval d'Adam.",kaikki
ADELAIDE,1,N,f,Capitale et principale ville de l'État d'Australie-Méridionale.,kaikki
ADELAIDE,2,N,f,Prénom féminin d'origine germanique.,kaikki
ADELARD,1,N,m,"Prénom masculin d'usage historique, équivalent de l'anglais Adelard.",kaikki
ADELIE,1,N,f,"Prénom féminin, diminutif d'Adèle.",kaikki
ADELINE,1,N,f,Prénom féminin dérivé d'Adèle.,kaikki
ADENOT,1,N,m,Nom de famille formé sur un diminutif médiéval d'Adam.,kaikki
ADHOC,1,N,,"Association pour les droits de l'homme et le développement au Cambodge, organisation cambodgienne de défense des droits humains.",kaikki
ADIABENE,1,N,f,"Ancien royaume de haute Mésopotamie, autour d'Arbèles (l'actuelle Erbil), vassal des Parthes puis de Rome.",kaikki
ADIMI,1,N,,Patronyme d'origine arabe.,kaikki
ADJANI,1,N,,Patronyme d'origine arabe.,kaikki
ADOLPHE,1,N,m,"Prénom masculin, équivalent de l'anglais Adolph.",kaikki
ADQ,1,N,,"Sigle de l'Action démocratique du Québec, ancien parti de droite fondé en 1994 et absorbé par la Coalition avenir Québec en 2012.",kaikki
ADRIEN,1,N,m,"Prénom masculin, équivalent de l'anglais Adrian.",kaikki
ADRIENNE,1,N,f,"Prénom féminin, forme féminine d'Adrien.",kaikki
AEAEA,1,N,f,"Ancienne graphie du nom de l'île mythique d'Aeaea, séjour de la magicienne Circé dans l'Odyssée d'Homère, également employée comme épithète de figures liées à cette légende, telles que Circé ou Calypso.",kaikki
AEAQUE,1,N,m,"Ancienne orthographe de Éaque, fils de Zeus qui devint l'un des juges des Enfers dans la mythologie grecque.",kaikki
AEGEE,1,Adj,,"Ancienne orthographe de l'adjectif égéen, relatif à la mer Égée.",kaikki
AEGINE,1,N,f,"Ancienne orthographe d'Égine, île grecque du golfe Saronique.",kaikki
AEGYPTE,1,N,f,Ancienne orthographe du nom propre Égypte.,kaikki
AEGYPTIEN,1,Adj,,"Ancienne orthographe de l'adjectif égyptien, relatif à l'Égypte.",kaikki
AEGYPTIENNE,1,Adj,,Forme féminine singulier ancienne de l'adjectif égyptien.,kaikki
AEGYPTIENNES,1,Adj,,Forme féminine pluriel ancienne de l'adjectif égyptien.,kaikki
AEGYPTIENS,1,Adj,,Forme masculine pluriel ancienne de l'adjectif égyptien.,kaikki
AELE,1,N,f,"Sigle de l'Association européenne de libre-échange, qui réunit l'Islande, la Norvège, la Suisse et le Liechtenstein.",kaikki
AEMILE,1,N,m,Prénom masculin issu du gentilice latin Aemilius.,kaikki
AENEE,1,N,m,"Graphie ancienne d'Énée, prince troyen héros de l'Énéide et ancêtre mythique des Romains.",kaikki
AENEIDE,1,N,f,"Ancienne graphie de Énéide, le poème épique latin de Virgile consacré au héros troyen Énée.",kaikki
AEOLIE,1,N,f,"Ancienne graphie de Éolie, contrée associée dans la mythologie grecque à Éole, maître des vents.",kaikki
AEQUE,1,N,,"Ancienne graphie de Èque, nom donné à un membre du peuple italique antique des Èques, installé dans les montagnes à l'est de Rome.",kaikki
AESOPE,1,N,m,"Ancienne graphie d'Ésope, fabuliste grec de l'Antiquité auquel de nombreuses fables sont attribuées.",kaikki
AETHIOPIE,1,N,f,Ancienne graphie du nom propre Éthiopie.,kaikki
AETHIOPIEN,1,N,m,"Ancienne graphie de l'adjectif éthiopien, relatif à l'Éthiopie.",kaikki
AETOLIE,1,N,f,"Ancienne orthographe d'Étolie, région historique de la Grèce antique.",kaikki
AETOLIEN,1,N,m,"Ancienne orthographe de l'adjectif étolien, relatif à l'Étolie ou à ses habitants.",kaikki
AEUMC,1,N,m,"Variante du sigle désignant l'Accord États-Unis-Mexique-Canada, traité commercial nord-américain également appelé ACÉUM.",kaikki
AFGHANISTAN,1,N,,"Pays sans littoral d'Asie, entre l'Asie centrale et le sous-continent indien, dont la capitale et principale ville est Kaboul.",kaikki
AFN,1,N,f,"Sigle d'Afrique française du Nord, désignant l'ensemble formé par les anciennes possessions françaises d'Algérie, du Maroc et de Tunisie.",kaikki
AFP,1,N,f,"Sigle de l'Agence France-Presse, agence de presse internationale française.",kaikki
AFPC,1,N,f,"Sigle de l'Alliance de la Fonction publique du Canada, principal syndicat des fonctionnaires fédéraux canadiens.",kaikki
AFRIQUE,1,N,f,"Continent situé au sud de l'Europe, entre l'océan Atlantique et l'océan Indien.",kaikki
AGAMEMNON,1,N,m,"Roi de Mycènes dans la mythologie grecque, chef de la coalition achéenne durant la guerre de Troie.",kaikki
AGDE,1,N,f,"Ville et commune française du département de l'Hérault, en Occitanie, proche de la Méditerranée.",kaikki
AGEN,1,N,,"Ville française, préfecture du département de Lot-et-Garonne, en Nouvelle-Aquitaine, réputée pour ses pruneaux.",kaikki
AGESILAS,1,N,m,"Nom de deux rois de Sparte, dont Agésilas II, souverain guerrier du IVe siècle av. J.-C.",kaikki
AGGEE,1,N,m,"Prophète de la Bible, l'un des douze petits prophètes, actif après le retour de l'exil de Babylone.",kaikki
AGLUKARK,1,N,,Patronyme issu de l'inuktitut.,kaikki
AGLUKKAQ,1,N,,Patronyme issu de l'inuktitut.,kaikki
AGLY,1,N,f,"Fleuve côtier du sud de la France, dans les Pyrénées-Orientales, qui se jette dans la Méditerranée.",kaikki
AGNOM,1,N,m,"Surnom ajouté au nom d'une personne, dans l'usage de la Rome antique.",kaikki
AGOUT,1,N,,"Rivière du sud de la France, en Occitanie, affluent de la rive gauche du Tarn.",kaikki
AICARD,1,N,,Patronyme.,kaikki
AIRARD,1,N,m,"Prénom masculin d'usage historique, aujourd'hui tombé en désuétude.",kaikki
AISSATA,1,N,f,"Prénom féminin d'origine arabe, très répandu en Afrique de l'Ouest musulmane.",kaikki
AISSATOU,1,N,f,"Prénom féminin d'origine arabe, très répandu en Afrique de l'Ouest musulmane.",kaikki
AITON,1,N,,"Commune française du département de la Savoie, en Auvergne-Rhône-Alpes.",kaikki
AJA,1,N,,"Sigle de l'Association de la jeunesse auxerroise, club de football français basé à Auxerre.",kaikki
AKHANNOUCH,1,N,,"Nom de famille marocain, porté par Aziz Akhannouch, chef du gouvernement du Maroc depuis 2021.",kaikki
AKIKO,1,N,f,Prénom féminin d'origine japonaise.,kaikki
AKKA,1,N,m,Roi de la cité sumérienne de Kish que la tradition mésopotamienne présente comme vaincu par Gilgamesh d'Uruk.,kaikki
AKKOUCHE,1,N,,Patronyme d'origine arabe.,kaikki
AKRAM,1,N,m,"Prénom masculin et nom de famille d'origine arabe, signifiant « le plus généreux ».",kaikki
AKREM,1,N,m,Prénom masculin d'origine arabe.,kaikki
AKTAOU,1,N,f,"Ville portuaire de l'ouest du Kazakhstan, sur la mer Caspienne.",kaikki
AKWESASNE,1,N,,"Territoire mohawk d'Amérique du Nord, à cheval sur la frontière entre l'État de New York, l'Ontario et le Québec.",kaikki
ALAIA,1,N,,Patronyme d'origine arabe.,kaikki
ALAIS,1,N,,"Ancienne orthographe d'Alès, sous-préfecture du département du Gard.",kaikki
ALAIS,2,N,,Nom de famille porté en France.,kaikki
ALAPHILIPPE,1,N,,"Patronyme porté par le coureur cycliste français Julian Alaphilippe, champion du monde sur route en 2020.",kaikki
ALASKA,1,N,m,"État du nord-ouest de l'Amérique du Nord, le plus vaste des États-Unis, acheté à la Russie en 1867.",kaikki
ALAT,1,N,f,"Localité portuaire d'Azerbaïdjan, sur la mer Caspienne, au sud de Bakou.",kaikki
ALBAN,1,N,m,"Prénom masculin, équivalent de l'anglais Alban.",kaikki
ALBANE,1,N,f,"Prénom féminin, forme féminine d'Alban.",kaikki
ALBANIE,1,N,,"Pays du sud-est de l'Europe, dans les Balkans, ouvert sur l'Adriatique, dont la capitale est Tirana.",kaikki
ALBERT,1,N,m,Prénom masculin d'origine germanique.,kaikki
ALBERT,2,N,m,Nom de famille formé sur ce prénom.,kaikki
ALBERTA,1,N,f,"Province de l'ouest du Canada, entre la Colombie-Britannique et la Saskatchewan.",kaikki
ALBERTE,1,N,f,"Prénom féminin, forme féminine d'Albert.",kaikki
ALBEZY,1,N,,"Lieu-dit de la commune de Brassac, dans le Tarn-et-Garonne.",kaikki
ALBI,1,N,f,"Ville française, préfecture du département du Tarn, en Occitanie, connue pour sa cathédrale de brique et le peintre Toulouse-Lautrec.",kaikki
ALBORG,1,N,,"Variante graphique d'Aalborg, ville du nord du Danemark.",kaikki
ALBOUY,1,N,,Patronyme d'origine occitane.,kaikki
ALCAIS,1,N,,Patronyme d'origine occitane.,kaikki
ALCESTE,1,N,,"Prénom masculin ou féminin, nom de l'épouse d'Admète dans la mythologie grecque, qui accepte de mourir à sa place, et du personnage principal du Misanthrope de Molière.",kaikki
ALCIBIADE,1,N,m,"Homme d'État et général athénien du Ve siècle av. J.-C., élève de Socrate, célèbre pour ses revirements durant la guerre du Péloponnèse.",kaikki
ALDEBARAN,1,N,,"Étoile la plus brillante de la constellation du Taureau, de teinte orangée.",kaikki
ALEKSEI,1,N,m,"Prénom masculin russe, transcription d'Alekseï, équivalent d'Alexis.",kaikki
ALEMANIE,1,N,f,"Territoire historique des Alamans, peuple germanique établi entre le Rhin, le Danube et les Alpes.",kaikki
ALENA,1,N,m,"Sigle de l'Accord de libre-échange nord-américain, en vigueur de 1994 à 2020 entre le Canada, les États-Unis et le Mexique.",kaikki
ALENCON,1,N,,"Ville française, préfecture du département de l'Orne, en Normandie, réputée pour sa dentelle au point d'Alençon.",kaikki
ALENYA,1,N,m,"Ancienne orthographe d'Alénya, commune des Pyrénées-Orientales proche de Perpignan.",kaikki
ALEP,1,N,m,"Grande ville du nord de la Syrie, l'une des plus anciennes cités habitées sans interruption, et gouvernorat dont elle est le chef-lieu.",kaikki
ALESI,1,N,,"Nom de famille d'origine italienne, notamment porté par le pilote de Formule 1 français Jean Alesi.",kaikki
ALEX,1,N,,"Prénom masculin ou féminin, abrégé d'Alexandre ou d'Alexandra.",kaikki
ALEXA,1,N,f,"Prénom féminin d'origine grecque, forme féminine d'Alex et diminutif d'Alexandra.",kaikki
ALEXANDRE,1,N,m,"Prénom masculin d'origine grecque, porté notamment par Alexandre le Grand, roi de Macédoine et conquérant du IVe siècle av. J.-C.",kaikki
ALEXANDRE,2,N,m,Nom de famille formé sur ce prénom.,kaikki
ALEXANDRESCU,1,N,,Patronyme d'origine roumaine.,kaikki
ALEXANDRIE,1,N,f,"Grande ville portuaire d'Égypte, sur la Méditerranée, fondée par Alexandre le Grand, et gouvernorat qu'elle administre.",kaikki
ALEXANDRIE,2,N,f,"Alessandria, ville et province du Piémont, en Italie.",kaikki
ALEXANDROVSK,1,N,f,"Ancien nom de Zaporijjia, ville du sud-est de l'Ukraine.",kaikki
ALEXANIAN,1,N,,Patronyme d'origine arménienne.,kaikki
ALEXIA,1,N,f,"Prénom féminin, équivalent de l'anglais Alexia.",kaikki
ALEXIS,1,N,m,Prénom masculin issu du grec ancien.,kaikki
ALEXY,1,N,m,"Prénom masculin, équivalent de l'anglais Alex.",kaikki
ALEXYA,1,N,f,"Prénom féminin, équivalent de l'anglais Alexa.",kaikki
ALFANDARI,1,N,,Patronyme issu du ladino (judéo-espagnol).,kaikki
ALFORTVILLE,1,N,m,"Commune française du Val-de-Marne, en Île-de-France, dans la banlieue sud-est de Paris.",kaikki
ALFRED,1,N,m,Prénom masculin.,kaikki
ALGER,1,N,f,"Capitale de l'Algérie, port sur la Méditerranée.",kaikki
ALGER,2,N,f,"La Régence d'Alger, province autonome et vassale de l'Empire ottoman sur le territoire de l'actuelle Algérie.",kaikki
ALGERIE,1,N,f,"Pays d'Afrique du Nord, le plus vaste du continent, bordé par la Méditerranée, dont la capitale est Alger.",kaikki
ALIASSIME,1,N,,Nom de famille porté par le joueur de tennis canadien Félix Auger-Aliassime.,kaikki
ALICE,1,N,f,"Prénom féminin, équivalent de l'anglais Alice.",kaikki
ALICIA,1,N,f,Prénom féminin.,kaikki
ALIENOR,1,N,f,"Prénom féminin d'origine provençale, équivalent de l'anglais Eleanor.",kaikki
ALINE,1,N,f,Prénom féminin.,kaikki
ALISSON,1,N,f,Prénom féminin d'origine anglaise.,kaikki
ALIX,1,N,f,"Prénom, le plus souvent féminin, variante ancienne d'Alice.",kaikki
ALIZEE,1,N,f,"Prénom féminin, variante d'Alizé.",kaikki
ALKANADI,1,N,,Patronyme d'origine arabe.,kaikki
ALLAIRE,1,N,,"Patronyme d'origine bretonne, surtout répandu au Québec.",kaikki
ALLARD,1,N,m,"Nom de famille d'origine germanique, formé sur un ancien prénom.",kaikki
ALLEIN,1,N,f,"Commune de la Vallée d'Aoste, région alpine du nord-ouest de l'Italie.",kaikki
ALLEMAGNE,1,N,f,"Pays d'Europe centrale, État fédéral le plus peuplé de l'Union européenne, dont la capitale est Berlin.",kaikki
ALLOULA,1,N,,Patronyme d'origine arabe.,kaikki
ALOUANE,1,N,,Patronyme d'origine arabe.,kaikki
ALPHANDERY,1,N,,Patronyme issu du ladino (judéo-espagnol).,kaikki
ALPHEE,1,N,m,"Principal fleuve du Péloponnèse, en Grèce, et divinité fluviale de la mythologie grecque éprise de la nymphe Aréthuse.",kaikki
ALTAI,1,N,m,"Chaîne de montagnes d'Asie centrale, au carrefour de la Russie, du Kazakhstan, de la Mongolie et de la Chine, dont le nom désigne aussi des subdivisions administratives russes.",kaikki
ALZEN,1,N,m,"Commune française du département de l'Ariège, en Occitanie.",kaikki
AMA,1,N,f,"Sigle de l'Agence mondiale antidopage, organisme international de lutte contre le dopage sportif.",kaikki
AMALRIC,1,N,m,"Prénom masculin d'origine germanique et nom de famille, équivalent d'Amaury, porté notamment par des rois latins de Jérusalem au XIIe siècle.",kaikki
AMAND,1,N,m,"Prénom masculin d'origine latine, dont les formes féminines sont Amanda et Amandine.",kaikki
AMANDA,1,N,f,Prénom féminin.,kaikki
AMANZE,1,N,,"Petite commune française de Saône-et-Loire, en Bourgogne-Franche-Comté.",kaikki
AMAR,1,N,m,Patronyme.,kaikki
AMARI,1,N,,Patronyme d'origine arabe.,kaikki
AMAROUCHE,1,N,,Patronyme d'origine arabe.,kaikki
AMAURY,1,N,m,"Prénom masculin d'origine germanique, équivalent d'Amalric.",kaikki
AMAURY,2,N,m,"Nom de famille, notamment celui de la famille qui édite le quotidien L'Équipe et organise le Tour de France.",kaikki
AMAZONIE,1,N,f,"Vaste région d'Amérique du Sud couverte par la forêt tropicale drainée par le fleuve Amazone, partagée entre le Brésil et plusieurs pays voisins.",kaikki
AMC,1,N,,"Sigle d'Affaires mondiales Canada, ministère fédéral chargé des relations extérieures, du commerce international et de l'aide au développement.",kaikki
AMEDEE,1,N,m,"Prénom masculin, équivalent de l'anglais Amadeus.",kaikki
AMELINE,1,N,f,Prénom féminin.,kaikki
AMERIQUE,1,N,f,"Ensemble continental de l'hémisphère occidental réunissant l'Amérique du Nord, l'Amérique centrale et l'Amérique du Sud.",kaikki
AMERIQUE,2,N,f,"Par ellipse, les États-Unis.",kaikki
AMERIQUES,1,N,f,"Pluriel d'Amérique, désignant collectivement les sous-continents nord, centre et sud-américain.",kaikki
AMHERST,1,N,m,"Municipalité de canton de la région des Laurentides, au Québec, Canada.",kaikki
AMIEL,1,N,,Patronyme d'origine occitane.,kaikki
AMIENS,1,N,,"Ville française, préfecture du département de la Somme, en Hauts-de-France, connue pour sa cathédrale gothique.",kaikki
AMIN,1,N,m,"Prénom masculin d'origine arabe, équivalent de l'anglais Amin.",kaikki
AMM,1,N,f,"Sigle d'« autorisation de mise sur le marché », agrément administratif requis pour commercialiser un médicament.",kaikki
AMMERSCHWIHR,1,N,,"Commune viticole française du Haut-Rhin, en Alsace, près de Colmar.",kaikki
AMOS,1,N,m,"Prophète de la Bible, l'un des douze petits prophètes, berger de Judée.",kaikki
AMOS,2,N,m,"Ville de l'Abitibi-Témiscamingue, au Québec, Canada.",kaikki
AMOUROUX,1,N,,Patronyme d'origine occitane.,kaikki
AMPHIPOLIS,1,N,f,"Cité de la Grèce antique, en Macédoine, sur le Strymon, enjeu de la guerre du Péloponnèse.",kaikki
AMRANI,1,N,,Patronyme d'origine arabe.,kaikki
AMRAOUI,1,N,,Patronyme d'origine arabe.,kaikki
AMROU,1,N,m,Prénom masculin d'origine arabe.,kaikki
AMSTERDAM,1,N,f,"Capitale des Pays-Bas et principale ville de la province de Hollande-Septentrionale, sillonnée de canaux.",kaikki
AMT,1,N,f,"Sigle de l'Agence métropolitaine de transport, ancien organisme de transport collectif de la région de Montréal, remplacé par le Réseau de transport métropolitain.",kaikki
ANAEL,1,N,f,Prénom mixte d'origine hébraïque.,kaikki
ANAELLE,1,N,f,Prénom féminin.,kaikki
ANAIS,1,N,f,Prénom féminin.,kaikki
ANANSI,1,N,m,Figure de l'araignée rusée dans les contes akan d'Afrique de l'Ouest et des Caraïbes.,kaikki
ANASTASIE,1,N,f,"Prénom féminin, équivalent de l'anglais Anastasia.",kaikki
ANATOLE,1,N,m,Prénom masculin issu du grec ancien.,kaikki
ANATOLIE,1,N,f,"Péninsule d'Asie occidentale formant la partie asiatique de la Turquie, aussi appelée Asie Mineure.",kaikki
ANAVLOCHOS,1,N,,"Massif montagneux de l'est de la Crète, en Grèce, siège d'un sanctuaire antique.",kaikki
ANAXAGORE,1,N,m,"Philosophe présocratique grec du Ve siècle av. J.-C., qui plaçait l'intelligence à l'origine de l'ordre du monde.",kaikki
ANAXARQUE,1,N,m,"Philosophe grec de l'école de Démocrite, compagnon d'Alexandre le Grand.",kaikki
ANAXIMANDRE,1,N,m,"Philosophe présocratique de Milet, disciple de Thalès, qui posait l'illimité comme principe de toutes choses.",kaikki
ANAXIMENE,1,N,m,"Philosophe présocratique de Milet, qui faisait de l'air le principe constitutif de l'univers.",kaikki
ANCHORAGE,1,N,f,Ville la plus peuplée de l'État américain de l'Alaska.,kaikki
ANCYRE,1,N,f,"Nom antique d'Ankara, capitale de la Galatie dans l'Antiquité.",kaikki
ANDAHUAYLAS,1,N,f,"Ville des Andes du sud du Pérou, dans la région d'Apurímac.",kaikki
ANDALOUSIE,1,N,f,"Communauté autonome du sud de l'Espagne, la plus peuplée du pays, ancienne région marquée par la présence musulmane.",kaikki
ANDALUS,1,N,m,"Variante d'al-Andalus, nom des territoires de la péninsule Ibérique sous domination musulmane au Moyen Âge.",kaikki
ANDERLECHT,1,N,m,"Commune de la Région de Bruxelles-Capitale, en Belgique, connue pour son club de football.",kaikki
ANDES,1,N,,Longue chaîne de montagnes bordant tout l'ouest de l'Amérique du Sud.,kaikki
ANDIE,1,N,,"Prénom mixte, diminutif d'André ou d'Andréa.",kaikki
ANDOCIDE,1,N,m,"Orateur athénien de l'Antiquité, compté parmi les dix orateurs attiques.",kaikki
ANDORRE,1,N,f,"Petit État des Pyrénées, entre la France et l'Espagne, placé sous l'autorité de deux coprinces.",kaikki
ANDOY,1,N,m,"Village de la commune de Namur, en Wallonie, Belgique.",kaikki
ANDRE,1,N,m,"L'apôtre André, frère de Simon-Pierre, dans le Nouveau Testament.",kaikki
ANDRE,2,N,m,Prénom masculin d'origine grecque.,kaikki
ANDRE,3,N,m,Nom de famille formé sur ce prénom.,kaikki
ANDREA,1,N,,Prénom féminin.,kaikki
ANDREAN,1,N,,"Prénom d'origine grecque, dérivé d'André.",kaikki
ANDREANA,1,N,f,Prénom féminin.,kaikki
ANDREANE,1,N,f,Prénom féminin.,kaikki
ANDREANNE,1,N,f,Prénom féminin.,kaikki
ANDREASSIAN,1,N,,Patronyme d'origine arménienne.,kaikki
ANDREE,1,N,f,"Prénom féminin, forme féminine d'André.",kaikki
ANDREESCU,1,N,,Patronyme d'origine roumaine.,kaikki
ANDRETTI,1,N,,"Nom de famille d'origine italienne, notamment celui du pilote automobile italo-américain Mario Andretti.",kaikki
ANDRETTIS,1,N,,"Pluriel d'Andretti, désignant les membres de cette famille de pilotes automobiles.",kaikki
